ingredient,month,avg_sentiment,mentions
alcohol,2008-09,0.586,1
alcohol,2009-03,0.926,1
alcohol,2009-04,0.13,2
alcohol,2009-05,-0.832,1
alcohol,2010-02,0.382,2
alcohol,2010-04,0.442,2
alcohol,2010-06,0.415,3
alcohol,2010-11,0.526,1
alcohol,2011-01,0.618,2
alcohol,2011-03,0.778,1
alcohol,2011-08,-0.095,1
alcohol,2011-12,0.78,1
alcohol,2012-01,0.511,1
alcohol,2012-06,0.85,3
alcohol,2012-12,0.837,1
alcohol,2013-08,-0.104,1
alcohol,2013-11,-0.089,2
alcohol,2014-05,-0.081,1
alcohol,2014-06,0.0,1
alcohol,2014-08,0.477,1
alcohol,2014-09,0.391,2
alcohol,2014-10,0.0,1
alcohol,2014-11,0.67,1
alcohol,2014-12,-0.131,2
alcohol,2015-01,0.774,1
alcohol,2015-02,0.803,3
alcohol,2015-04,0.401,2
alcohol,2015-06,-0.604,1
alcohol,2015-08,0.0,1
alcohol,2015-12,0.052,1
alcohol,2016-03,0.1,1
alcohol,2016-08,0.968,1
alcohol,2016-09,-0.353,1
alcohol,2017-01,0.706,2
alcohol,2017-05,0.981,1
alcohol,2017-10,0.827,2
alcohol,2017-11,0.714,1
alcohol,2018-01,0.809,1
alcohol,2018-02,0.842,1
alcohol,2018-05,0.14,2
alcohol,2018-07,0.268,3
alcohol,2018-09,0.318,2
alcohol,2018-10,-0.367,2
alcohol,2019-01,0.463,3
alcohol,2019-02,0.927,5
alcohol,2019-03,0.793,3
alcohol,2019-04,0.289,3
alcohol,2019-07,0.559,4
alcohol,2019-08,0.375,5
alcohol,2019-09,0.349,10
alcohol,2019-10,0.293,3
alcohol,2019-11,0.743,1
alcohol,2019-12,0.301,2
alcohol,2020-01,0.383,4
alcohol,2020-02,0.637,4
alcohol,2020-03,0.321,6
alcohol,2020-04,0.754,4
alcohol,2020-05,0.307,11
alcohol,2020-06,0.582,9
alcohol,2020-07,0.337,4
alcohol,2020-08,0.935,3
alcohol,2020-09,0.157,3
alcohol,2020-10,0.913,3
alcohol,2020-11,0.547,3
alcohol,2020-12,-0.929,1
alcohol,2021-01,0.575,2
alcohol,2021-02,0.164,7
alcohol,2021-03,0.784,3
alcohol,2021-04,0.729,2
alcohol,2021-05,0.867,2
alcohol,2021-07,0.398,2
alcohol,2021-08,0.382,1
alcohol,2021-11,0.462,5
alcohol,2021-12,-0.052,1
alcohol,2022-04,0.256,7
alcohol,2022-05,0.235,5
alcohol,2022-06,0.99,1
alcohol,2022-08,0.951,1
alcohol,2023-01,0.475,3
alcohol,2023-02,0.502,1
alcohol,2023-03,0.946,1
benzoyl peroxide,2009-02,0.61,1
benzoyl peroxide,2009-05,-0.46,2
benzoyl peroxide,2009-07,0.862,1
benzoyl peroxide,2010-04,-0.371,3
benzoyl peroxide,2011-05,0.102,2
benzoyl peroxide,2011-07,-0.695,1
benzoyl peroxide,2013-03,0.623,1
benzoyl peroxide,2013-09,0.948,1
benzoyl peroxide,2013-10,0.762,1
benzoyl peroxide,2014-02,0.481,1
benzoyl peroxide,2014-09,0.341,2
benzoyl peroxide,2014-12,0.527,1
benzoyl peroxide,2015-11,0.379,4
benzoyl peroxide,2016-01,0.619,1
benzoyl peroxide,2016-11,-0.856,1
benzoyl peroxide,2017-04,-0.077,1
benzoyl peroxide,2018-01,0.977,1
benzoyl peroxide,2018-03,-0.957,1
benzoyl peroxide,2018-05,0.89,1
benzoyl peroxide,2018-07,0.561,1
benzoyl peroxide,2018-09,0.946,1
benzoyl peroxide,2019-08,0.796,1
benzoyl peroxide,2019-09,0.961,1
benzoyl peroxide,2019-11,-0.296,1
benzoyl peroxide,2020-09,0.041,2
benzoyl peroxide,2020-10,0.818,2
benzoyl peroxide,2020-12,0.338,1
benzoyl peroxide,2021-01,0.937,1
benzoyl peroxide,2021-03,0.556,3
benzoyl peroxide,2021-05,0.981,1
benzoyl peroxide,2021-06,0.825,2
benzoyl peroxide,2021-07,-0.25,1
benzoyl peroxide,2021-08,0.796,1
benzoyl peroxide,2021-10,0.714,1
benzoyl peroxide,2021-11,0.544,2
benzoyl peroxide,2021-12,0.607,1
benzoyl peroxide,2022-01,0.679,2
benzoyl peroxide,2022-04,0.854,2
benzoyl peroxide,2022-05,0.866,1
benzoyl peroxide,2022-07,0.872,1
bha,2008-11,0.796,1
bha,2010-04,-0.874,1
bha,2011-02,0.919,1
bha,2013-03,-0.778,1
bha,2014-08,0.765,2
bha,2015-12,0.492,3
bha,2016-02,0.864,1
bha,2016-04,-0.128,1
bha,2017-01,0.902,1
bha,2017-09,0.502,1
bha,2018-03,0.883,1
bha,2018-05,0.637,1
bha,2018-08,0.71,1
bha,2018-10,0.331,4
bha,2018-11,0.34,1
bha,2019-01,0.784,4
bha,2019-04,0.918,1
bha,2019-06,0.45,3
bha,2019-09,0.99,1
bha,2019-11,0.919,2
bha,2019-12,0.147,2
bha,2020-01,0.708,2
bha,2020-03,0.775,2
bha,2020-04,0.927,1
bha,2020-05,0.755,6
bha,2020-06,0.765,5
