brand_name,secondary_category,review_count,avg_sentiment,avg_rating,rec_pct,neg_pct,brand_health_score
Algenist,Value & Gift Sets,259,0.9179,4.795,98.1,0.39,0.9651
MARA,Cleansers,241,0.8665,4.88,98.3,2.07,0.9625
MARA,Moisturizers,468,0.828,4.897,99.1,1.28,0.9601
Benefit Cosmetics,Masks,1178,0.8723,4.744,97.6,0.93,0.9522
Saint Jane Beauty,Sunscreen,293,0.8324,4.833,97.3,2.05,0.9493
DAMDAM,Cleansers,502,0.8526,4.761,96.2,1.2,0.9441
Supergoop!,Treatments,370,0.8443,4.73,97.0,2.43,0.944
Glow Recipe,Value & Gift Sets,404,0.8461,4.748,96.5,2.72,0.9434
Sulwhasoo,Value & Gift Sets,302,0.9088,4.702,94.4,0.99,0.9429
FaceGym,Treatments,223,0.8455,4.735,96.0,0.9,0.9403
Farmacy,Eye Care,572,0.8664,4.699,95.3,3.15,0.939
The Outset,Cleansers,295,0.8532,4.729,94.6,1.36,0.9357
LANEIGE,Treatments,545,0.8276,4.67,96.0,2.02,0.933
Fenty Skin,Masks,392,0.825,4.684,95.7,2.55,0.9323
StriVectin,Treatments,298,0.7911,4.742,96.0,4.7,0.9312
alpyn beauty,Cleansers,507,0.8466,4.726,93.7,1.97,0.9308
Dermalogica,Value & Gift Sets,559,0.8511,4.628,95.0,2.33,0.9307
Gucci,Moisturizers,451,0.8547,4.665,94.2,1.11,0.9306
DAMDAM,Moisturizers,562,0.81,4.719,95.0,2.14,0.9293
Benefit Cosmetics,Cleansers,1640,0.8363,4.645,94.9,2.13,0.9287
alpyn beauty,Masks,349,0.841,4.682,94.0,3.15,0.9282
Nécessaire,Moisturizers,226,0.8127,4.69,94.7,3.1,0.9266
RANAVAT,Treatments,216,0.791,4.782,94.0,3.24,0.9257
alpyn beauty,Treatments,455,0.8472,4.664,93.0,3.08,0.9241
The Outset,Moisturizers,454,0.8181,4.696,93.6,2.2,0.9236
ROSE INC,Cleansers,368,0.8238,4.685,93.5,2.17,0.9234
FaceGym,High Tech Tools,435,0.845,4.621,93.6,2.3,0.9234
LAWLESS,Treatments,251,0.8658,4.598,92.4,3.59,0.9211
Benefit Cosmetics,Moisturizers,718,0.8383,4.597,93.6,1.25,0.9209
fresh,Treatments,3023,0.8238,4.664,93.0,2.48,0.9201
